month,vessel_type,number_of_vessels,gross_tonnage
1995-01,Container,1112,19477.72
1995-01,Freighter,916,4006.11
1995-01,Bulk Carrier,346,9115.43
1995-01,Tanker,1272,20064.49
1995-01,Passenger,2656,2403.33
1995-01,Barges,1352,1241.02
1995-01,Tug,775,129.44
1995-01,Miscellaneous,447,2541.08
1995-02,Container,1001,18105.27
1995-02,Freighter,843,3995.91
1995-02,Bulk Carrier,263,7369.74
1995-02,Tanker,1171,18717.89
1995-02,Passenger,2265,2147.31
1995-02,Barges,1040,1063.33
1995-02,Tug,614,115.96
1995-02,Miscellaneous,396,2271.35
1995-03,Container,1079,19376.52
1995-03,Freighter,927,4016.74
1995-03,Bulk Carrier,308,8187.82
1995-03,Tanker,1299,20873.16
1995-03,Passenger,2614,2534.46
1995-03,Barges,1226,1183.79
1995-03,Tug,709,121.26
1995-03,Miscellaneous,448,2147
1995-04,Container,1026,18523.24
1995-04,Freighter,894,4095.16
1995-04,Bulk Carrier,317,9136.04
1995-04,Tanker,1261,21470.51
1995-04,Passenger,2511,2203.98
1995-04,Barges,1292,1165.61
1995-04,Tug,739,121.07
1995-04,Miscellaneous,443,2636.05
1995-05,Container,1106,19747.9
1995-05,Freighter,881,3841.34
1995-05,Bulk Carrier,323,9072.3
1995-05,Tanker,1287,22675.95
1995-05,Passenger,2650,2223.32
1995-05,Barges,1316,1225.82
1995-05,Tug,723,127.24
1995-05,Miscellaneous,463,2782.19
1995-06,Container,1065,19204.3
1995-06,Freighter,871,4044.44
1995-06,Bulk Carrier,313,8221.29
1995-06,Tanker,1257,18223.95
1995-06,Passenger,2412,2056.02
1995-06,Barges,1379,1198.41
1995-06,Tug,776,133.95
1995-06,Miscellaneous,434,2277.88
1995-07,Container,1147,20391.8
1995-07,Freighter,894,4125.53
1995-07,Bulk Carrier,390,10843.54
1995-07,Tanker,1300,19917.48
1995-07,Passenger,2351,2292.55
1995-07,Barges,1401,1285.16
1995-07,Tug,768,138.4
1995-07,Miscellaneous,418,2316.07
1995-08,Container,1191,20619.67
1995-08,Freighter,913,4246.79
1995-08,Bulk Carrier,342,8692.55
1995-08,Tanker,1311,20287.79
1995-08,Passenger,2225,2336.52
